run_id,fold,epoch,training_phase,eligible_for_best,is_best_epoch,best_epoch_so_far,learning_rate,learning_rate_min,learning_rate_max,weight_decay,lambda_norm,train_loss,train_recon_loss,train_recon_fixation,train_recon_transition,train_recon_temporal,train_norm_loss,train_spread_loss,val_loss,val_recon_loss,val_recon_fixation,val_recon_transition,val_recon_temporal,val_norm_loss,val_spread_loss,train_within_stimulus_dispersion,train_between_stimulus_dispersion,val_within_stimulus_dispersion,val_between_stimulus_dispersion,grad_norm_mean,grad_norm_max,grad_clip_fraction,semantic_gamma_attention1,semantic_gamma_attention2,spatial_bridge_eta,train_mask_ratio_realized,val_mask_ratio_realized,num_train_trials,num_val_trials,n_train_batches,n_val_batches,n_train_stimulus_groups,n_val_stimulus_groups,n_skipped_norm_groups_train,n_skipped_norm_groups_val,nonfinite_batch_count,epoch_time_seconds,peak_gpu_memory_mb,seed
dino_hc_normative_stage1_base_20260831_230144_329969_1,0,0,warmup,False,False,,0.00011999999999999999,0.0003,0.0003,0.0005,0.0,0.06732209473848343,0.06732209473848343,0.0042210063338279724,0.005707131223753095,0.0573939573764801,0.009861429184675218,0.00956383541226387,0.058094963375444036,0.058094963375444036,0.0019727916748852954,0.0024615838412274656,0.053660588302859816,0.009148548357188702,0.009731309488415718,0.00862879104912281,0.002222601673565805,0.008576050400733948,0.0013617950025945902,0.17477472161720473,0.3413923813138217,0.0,0.04937843605875969,0.04948566108942032,0.1007421687245369,0.3489583432674408,0.3489583432674408,800,1599,13,25,100,1599,0,1599,0,57.00167798995972,0.0,2026
dino_hc_normative_stage1_base_20260831_230144_329969_1,0,1,warmup,False,False,,0.00017999999999999998,0.0003,0.0003,0.0005,0.0,0.046834636628627774,0.046834636628627774,0.0018192447256296872,0.002179676122032106,0.04283571615815163,0.009028420671820641,0.009649233557283879,0.03634702771892765,0.03634702771892765,0.0013084964954985622,0.0014495469869002047,0.03358898415760818,0.008946885354816914,0.009739702567458153,0.007899906039237976,0.001781729981303215,0.008386945351958275,0.0013187023578211665,0.09988559876832477,0.13511342491095482,0.0,0.04867537319660187,0.04872289299964905,0.10140006989240646,0.3489583432674408,0.3489583432674408,800,1599,13,25,100,1599,0,1599,0,56.088502168655396,0.0,2026
dino_hc_normative_stage1_base_20260831_230144_329969_1,0,2,warmup,False,False,,0.00023999999999999998,0.0003,0.0003,0.0005,0.0,0.028335338160395622,0.028335338160395622,0.001226865358185023,0.0013434887817129492,0.025764984413981437,0.010205813348293305,0.0095362164452672,0.02412685395694286,0.02412685395694286,0.0007686323649424703,0.0008520273450750967,0.022506194261413502,0.009548479691147804,0.009732022881507874,0.008930125311017036,0.0023735555075109003,0.008950917981564999,0.0013578830985352397,0.07919814322395524,0.11058541170579332,0.0,0.0484459362924099,0.04805964231491089,0.10333344340324402,0.3489583432674408,0.3489583432674408,800,1599,13,25,100,1599,0,1599,0,57.7225182056427,0.0,2026
dino_hc_normative_stage1_base_20260831_230144_329969_1,0,3,warmup,False,False,,0.0003,0.0003,0.0003,0.0005,0.0,0.020745092406868934,0.020745092406868934,0.0006297647033352405,0.0006099585781339556,0.019505369290709496,0.008481428772211076,0.009599579423666,0.02003941238578817,0.02003941238578817,0.00044530124607827375,0.0004357186989818558,0.019158392489944272,0.007184462156146765,0.009797871112823486,0.007421287521719932,0.002038660771213472,0.006734831724315882,0.0010211169719696045,0.06077385852365477,0.11394326082311512,0.0,0.047831859439611435,0.04693247005343437,0.10448169708251953,0.3489583432674408,0.3489583432674408,800,1599,13,25,100,1599,0,1599,0,56.32847857475281,0.0,2026
dino_hc_normative_stage1_base_20260831_230144_329969_1,0,4,warmup,False,False,,0.0003,0.0003,0.0003,0.0005,0.0,0.01746405176818371,0.01746405176818371,0.00036476120934821667,0.00035190484719350935,0.01674738585948944,0.0075897850096225735,0.009676343649625779,0.016561349177077234,0.016561349177077234,0.0003006971063933395,0.00029095828330337654,0.015969693571040226,0.006542419549077749,0.009814959950745106,0.00664110153913498,0.0016479649883694948,0.00613303342834115,0.0009340780670754611,0.08555895123449705,0.1831947201867935,0.0,0.047721944749355316,0.047085247933864594,0.10739067196846008,0.3489583432674408,0.3489583432674408,800,1599,13,25,100,1599,0,1599,0,57.45893597602844,0.0,2026
dino_hc_normative_stage1_base_20260831_230144_329969_1,0,5,warmup,False,False,,0.0002999179886011389,0.0003,0.0003,0.0005,0.0,0.01539525307714939,0.01539525307714939,0.0002693710941821337,0.00025334214617032556,0.014872539937496185,0.006591713204979897,0.009707008190453052,0.015301730984669316,0.015301730984669316,0.00024248970493897354,0.00022316613542035414,0.01483607527131845,0.006313926540315151,0.00982222892343998,0.005767790302634239,0.0014877688349224628,0.005918928422033787,0.0008970204507932067,0.07998644023592501,0.1502353428614163,0.0,0.047107987105846405,0.04600951448082924,0.11108320951461792,0.3489583432674408,0.3489583432674408,800,1599,13,25,100,1599,0,1599,0,56.30442023277283,0.0,2026
dino_hc_normative_stage1_base_20260831_230144_329969_1,0,6,warmup,False,False,,0.00029967204408281613,0.0003,0.0003,0.0005,0.0,0.013720922693610192,0.013720922693610192,0.00022244242951273917,0.00020637172390706838,0.013292108327150345,0.006510415747761726,0.009725711159408092,0.01416617277205885,0.01416617277205885,0.00021118965925667155,0.00019475123371079733,0.013760231916394883,0.0059056272730231285,0.009831688366830349,0.005696653053164482,0.0013903315924108028,0.005536215379834175,0.0008489337051287293,0.04257165726487866,0.10562481775374712,0.0,0.04630082845687866,0.045442789793014526,0.11504298448562622,0.3489583432674408,0.3489583432674408,800,1599,13,25,100,1599,0,1599,0,57.64425778388977,0.0,2026
dino_hc_normative_stage1_base_20260831_230144_329969_1,0,7,warmup,False,False,,0.0002992624353817517,0.0003,0.0003,0.0005,0.0,0.01360001541674137,0.01360001541674137,0.00020175865211058408,0.0001871568465139717,0.013211099952459336,0.00591741144657135,0.009737009592354297,0.013360617751065756,0.013360617751065756,0.00019194316001193396,0.00017723971717369761,0.012991434925953957,0.00570261524990201,0.009836837649345398,0.005177771970629692,0.0013321001315489411,0.005345938261598349,0.0008227553335018456,0.04723323394798543,0.09246277141637403,0.0,0.04651731252670288,0.04594259709119797,0.11963565647602081,0.3489583432674408,0.3489583432674408,800,1599,13,25,100,1599,0,1599,0,56.05504822731018,0.0,2026
dino_hc_normative_stage1_base_20260831_230144_329969_1,0,8,warmup,False,False,,0.00029868961039904624,0.0003,0.0003,0.0005,0.0,0.01259593479335308,0.01259593479335308,0.00018272168119437993,0.00016970769735053182,0.012243505492806435,0.0058713099360466,0.009733654707670212,0.012827239013868171,0.012827239013868171,0.0001814233410647436,0.00016657795164676755,0.012479237690824244,0.00567997433245182,0.009835808537900448,0.00513743743300438,0.0013487297063693405,0.005324735771864653,0.0008280625916086137,0.048687776992736125,0.09410660795262801,0.0,0.04678606614470482,0.04659855738282204,0.12428908795118332,0.3489583432674408,0.3489583432674408,800,1599,13,25,100,1599,0,1599,0,56.9297137260437,0.0,2026
dino_hc_normative_stage1_base_20260831_230144_329969_1,0,9,warmup,False,False,,0.00029795419551040833,0.0003,0.0003,0.0005,0.0,0.012322220169007778,0.012322220169007778,0.00018086291616782547,0.0001653051539324224,0.011976052075624466,0.005612172037363052,0.009760347716510296,0.012481507740966076,0.012481507740966076,0.00017460095149567122,0.00015990018126819214,0.012147006630580675,0.005789825227111578,0.009832380339503288,0.004910688549280166,0.0012124064494855701,0.005427739582955837,0.0008455206407234073,0.05223581580386236,0.09867948774270165,0.0,0.04674398526549339,0.04693235829472542,0.12918637692928314,0.3489583432674408,0.3489583432674408,800,1599,13,25,100,1599,0,1599,0,57.486462354660034,0.0,2026
